CustomerID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
459157.0221,Male,No,18,No,Healthcare,3,Low,3,Cat_2
459159.8118,Female,Yes,73,Yes,Artist,1,Average,2,Cat_6
459162.6015,Male,Yes,62,No,Artist,1,High,3,Cat_6
459165.3912,Female,Yes,46,Yes,Artist,1,Average,2,Cat_6
459168.1809,Male,Yes,43,Yes,Entertainment,0,Low,4,Cat_4
459170.9706,Female,No,32,Yes,Entertainment,7,Low,1,Cat_6
459173.7603,Male,No,39,Yes,Artist,0,Low,1,Cat_6
459176.55,Female,Yes,89,Yes,Lawyer,0,High,2,Cat_6
459179.3397,Female,No,18,No,Healthcare,0,Low,3,Cat_4
459182.1294,Female,Yes,57,Yes,Artist,0,High,2,Cat_3
459184.9191,Female,No,18,No,Entertainment,0,Low,4,Cat_6
459187.7088,Female,Yes,71,Yes,Artist,1,High,2,Cat_6
459190.4985,Female,Yes,69,Yes,Artist,0,Average,2,Cat_6
459193.2882,Female,No,42,Yes,Healthcare,0,Low,4,Cat_6
459196.0779,Female,No,36,Yes,Artist,0,Low,2,Cat_6
459198.8676,Female,Yes,80,Yes,Lawyer,1,High,2,Cat_6
459201.6574,Male,Yes,69,No,Entertainment,,Low,1,Cat_6
459204.4471,Female,Yes,67,Yes,Artist,0,Average,3,Cat_6
459207.2368,Female,Yes,47,Yes,Doctor,1,Average,4,Cat_6
459210.0265,Female,Yes,49,Yes,Artist,0,Average,2,Cat_6
459212.8162,Female,Yes,32,No,Engineer,9,Low,4,Cat_6
459215.6059,Female,Yes,65,Yes,Lawyer,1,Average,4,Cat_6
459218.3956,Female,Yes,78,No,Lawyer,0,High,2,Cat_6
459221.1853,Male,No,33,Yes,Artist,1,Low,6,Cat_6
459223.975,Male,Yes,48,Yes,Artist,1,Low,1,Cat_6
459226.7647,Male,Yes,58,Yes,Executive,1,Average,5,Cat_6
459229.5544,Female,Yes,83,Yes,Lawyer,1,High,,Cat_6
459232.3441,Female,No,30,No,Healthcare,9,Low,4,Cat_6
459235.1338,Female,No,35,Yes,Artist,0,Low,2,Cat_6
459237.9235,Male,No,32,Yes,Healthcare,6,Low,5,Cat_6
459240.7132,Male,Yes,69,Yes,Homemaker,1,High,2,Cat_6
459243.5029,Female,Yes,71,Yes,Lawyer,1,High,2,Cat_6
459246.2926,Male,No,43,Yes,Lawyer,0,Low,1,Cat_4
459249.0824,Male,Yes,37,Yes,Artist,0,Low,2,Cat_6
459251.8721,Male,No,42,Yes,Doctor,0,Low,1,Cat_6
459254.6618,Female,Yes,70,Yes,Doctor,1,Average,2,Cat_6
459257.4515,Male,No,46,Yes,Artist,0,Low,2,Cat_6
459260.2412,Male,No,21,No,Healthcare,,Low,,Cat_1
459263.0309,Male,Yes,70,Yes,Artist,0,Average,2,Cat_6
459265.8206,Female,Yes,61,Yes,Artist,1,Low,,Cat_6
459268.6103,Male,Yes,60,Yes,Entertainment,1,Low,1,Cat_6
459271.4,Male,No,37,Yes,Entertainment,0,Low,2,Cat_2
459274.1897,Male,Yes,30,Yes,Healthcare,1,Low,2,Cat_6
459276.9794,Female,No,32,Yes,Engineer,1,Low,3,Cat_6
459279.7691,Male,Yes,26,Yes,Executive,0,Low,3,Cat_6
459282.5588,Male,No,42,Yes,Marketing,0,Low,1,Cat_6
459285.3485,Female,No,18,No,Doctor,,Low,,Cat_6
459288.1382,Male,Yes,80,No,Executive,,Low,,Cat_6
459290.9279,Male,Yes,29,Yes,Healthcare,8,High,2,Cat_6
459293.7176,Female,Yes,88,Yes,Artist,1,High,2,Cat_6
459296.5074,Male,Yes,70,Yes,Lawyer,1,Low,1,Cat_6
459299.2971,Female,Yes,50,Yes,Artist,1,High,4,Cat_6
459302.0868,Male,Yes,43,Yes,Doctor,4,Average,4,Cat_3
459304.8765,Male,Yes,51,Yes,Artist,6,Average,2,Cat_6
459307.6662,Female,Yes,50,Yes,Artist,,High,3,Cat_6
459310.4559,Female,Yes,74,No,Homemaker,,Low,1,Cat_6
459313.2456,Female,No,29,Yes,Healthcare,,Low,3,Cat_6
459316.0353,Female,No,32,Yes,Engineer,,Low,2,Cat_6
459318.825,Male,Yes,60,No,Executive,0,Low,2,Cat_6
459321.6147,Male,No,46,Yes,Artist,2,Low,1,Cat_6
459324.4044,Female,Yes,81,Yes,Marketing,0,Low,2,Cat_6
459327.1941,Male,Yes,41,No,Engineer,,Average,7,Cat_4
459329.9838,Male,Yes,22,No,Executive,0,High,4,Cat_6
459332.7735,Male,Yes,37,Yes,Artist,0,Average,3,Cat_6
459335.5632,Male,Yes,43,No,Engineer,0,Low,1,Cat_6
459338.3529,Male,Yes,50,Yes,Artist,1,Average,3,Cat_6
459341.1426,Female,Yes,35,Yes,Artist,1,Average,2,Cat_7
459343.9324,Male,Yes,65,No,Lawyer,1,High,2,Cat_6
459346.7221,Female,No,41,Yes,Engineer,0,Low,4,Cat_6
459349.5118,Male,No,28,No,Entertainment,8,Low,2,Cat_6
459352.3015,Male,Yes,55,Yes,Artist,4,Average,2,Cat_6
459355.0912,Female,Yes,58,No,Lawyer,,High,2,Cat_6
459357.8809,Male,No,28,No,Healthcare,1,Low,3,
459360.6706,Male,Yes,48,Yes,Artist,,Average,4,Cat_7
459363.4603,Female,Yes,78,No,Doctor,1,High,2,Cat_6
459366.25,Female,No,35,Yes,Doctor,1,Low,3,Cat_6
459369.0397,Female,Yes,76,Yes,Lawyer,0,High,2,Cat_6
459371.8294,Female,Yes,88,Yes,Lawyer,1,High,2,Cat_6
459374.6191,Male,Yes,61,Yes,,1,Average,3,Cat_6
459377.4088,Female,Yes,79,Yes,Artist,,High,2,Cat_6
459380.1985,Male,No,30,No,Doctor,0,Low,4,Cat_6
459382.9882,Male,Yes,69,No,Executive,0,High,2,Cat_6
459385.7779,Male,Yes,65,Yes,Doctor,1,Average,2,Cat_6
459388.5676,Female,Yes,70,Yes,Lawyer,1,Low,2,Cat_6
459391.3574,Male,Yes,32,No,Healthcare,0,Average,4,Cat_6
459394.1471,Male,Yes,46,Yes,Entertainment,,Low,4,Cat_6
459396.9368,Male,No,21,No,Healthcare,8,Low,5,Cat_6
459399.7265,Male,Yes,47,Yes,Doctor,,Low,3,Cat_6
459402.5162,Female,No,39,No,Marketing,0,Low,2,Cat_4
459405.3059,Male,Yes,85,Yes,Lawyer,0,Low,3,Cat_6
459408.0956,Female,No,66,Yes,Artist,0,Low,2,Cat_6
459410.8853,Female,Yes,50,Yes,Artist,1,Average,2,Cat_6
459413.675,Female,Yes,42,Yes,Artist,0,Average,3,Cat_6
459416.4647,Male,Yes,53,Yes,Artist,9,Low,1,Cat_6
459419.2544,Male,Yes,37,Yes,Artist,,Low,2,Cat_6
459422.0441,Female,Yes,45,Yes,Artist,1,Low,2,Cat_6
459424.8338,Female,No,66,No,Lawyer,,Low,1,Cat_6
459427.6235,Male,No,33,No,Marketing,,Low,,Cat_6
459430.4132,Male,Yes,40,Yes,Artist,4,Low,1,Cat_6
459433.2029,Female,Yes,35,Yes,Artist,1,Low,1,Cat_1
459435.9926,Male,No,27,Yes,Artist,,Low,2,Cat_6
459438.7824,Female,Yes,48,Yes,Artist,0,Average,3,Cat_4
459441.5721,Female,Yes,56,Yes,Artist,0,Average,2,Cat_6
459444.3618,Male,Yes,25,Yes,Healthcare,,Low,6,Cat_6
459447.1515,Female,No,30,No,Artist,,Low,8,Cat_6
459449.9412,Female,Yes,46,Yes,Entertainment,7,Low,3,Cat_6
459452.7309,Male,Yes,49,No,Lawyer,0,Low,2,Cat_6
459455.5206,Male,Yes,72,No,Marketing,1,Low,4,Cat_6
459458.3103,Female,Yes,79,Yes,Lawyer,,High,2,Cat_6
459461.1,Female,No,35,Yes,Artist,,Low,3,Cat_6
459463.8897,Female,Yes,77,Yes,Lawyer,0,Low,1,Cat_6
459466.6794,Female,Yes,79,No,Lawyer,,High,2,Cat_6
459469.4691,Male,Yes,42,Yes,Healthcare,6,High,4,Cat_6
459472.2588,Female,No,42,Yes,Engineer,,Low,1,Cat_6
459475.0485,Male,Yes,67,No,Lawyer,,High,2,Cat_1
459477.8382,Male,No,26,Yes,Healthcare,1,Low,1,Cat_6
459480.6279,Male,Yes,67,Yes,Lawyer,1,High,2,Cat_6
459483.4176,Male,Yes,55,Yes,Engineer,1,Low,1,Cat_6
459486.2074,Female,,56,Yes,Artist,,Average,2,Cat_6
459488.9971,Male,Yes,63,,,,Average,4,Cat_6
459491.7868,Male,Yes,46,Yes,Artist,8,Average,2,Cat_6
459494.5765,Male,Yes,32,Yes,Healthcare,7,Low,2,Cat_6
459497.3662,Female,No,49,Yes,Homemaker,13,Low,1,Cat_6
459500.1559,Male,Yes,59,Yes,Artist,1,High,2,Cat_6
459502.9456,Male,No,22,No,Healthcare,8,Low,5,Cat_4
459505.7353,Female,No,28,Yes,Artist,8,Low,1,Cat_6
459508.525,Male,No,28,Yes,Entertainment,1,Low,3,Cat_6
459511.3147,Male,Yes,75,Yes,Lawyer,2,Low,1,Cat_6
459514.1044,Female,Yes,37,Yes,Artist,13,Low,2,Cat_6
459516.8941,Male,Yes,50,Yes,Doctor,0,Average,2,Cat_6
459519.6838,Female,Yes,50,Yes,Executive,1,High,4,Cat_6
459522.4735,Female,Yes,88,No,Lawyer,,Low,,
459525.2632,Female,Yes,35,Yes,Artist,3,Average,5,Cat_4
459528.0529,Female,No,35,No,,,Low,,Cat_7
459530.8426,Male,Yes,31,No,Entertainment,,Average,3,Cat_6
459533.6324,Male,Yes,46,Yes,Artist,0,Low,1,Cat_6
459536.4221,Female,Yes,50,Yes,Artist,1,Average,4,Cat_6
459539.2118,Female,No,33,Yes,Artist,7,Low,3,Cat_6
459542.0015,Male,Yes,49,Yes,Artist,0,Low,1,Cat_6
459544.7912,Male,Yes,52,Yes,Artist,1,Average,3,Cat_6
459547.5809,Male,No,25,No,Healthcare,0,Low,3,Cat_6
459550.3706,Female,Yes,41,Yes,Artist,6,Low,1,Cat_6
459553.1603,Female,Yes,68,Yes,Artist,0,High,2,Cat_6
459555.95,Female,Yes,79,No,Lawyer,2,High,2,Cat_6
459558.7397,Male,Yes,40,Yes,Entertainment,5,Average,5,Cat_6
459561.5294,Female,No,62,Yes,Doctor,,Low,1,Cat_6
459564.3191,Male,No,21,No,Healthcare,,Low,2,Cat_6
459567.1088,Female,No,20,No,Healthcare,,Low,4,Cat_1
459569.8985,Male,No,28,Yes,Entertainment,1,Low,5,Cat_6
459572.6882,Male,Yes,57,Yes,Doctor,0,Average,2,Cat_4
459575.4779,Female,No,25,No,Healthcare,8,Low,,
459578.2676,Female,Yes,63,No,Engineer,8,Low,1,Cat_6
459581.0574,Female,Yes,26,No,Entertainment,1,Low,3,Cat_6
459583.8471,Female,Yes,50,No,Marketing,0,High,3,Cat_4
459586.6368,Female,No,30,No,Marketing,9,Low,4,Cat_2
459589.4265,Female,No,26,No,Engineer,,Low,4,Cat_4
459592.2162,Male,Yes,61,Yes,Artist,1,Average,3,Cat_6
459595.0059,Male,No,42,Yes,Artist,3,Low,1,Cat_6
459597.7956,Male,Yes,88,Yes,Artist,4,Low,2,Cat_6
459600.5853,Male,Yes,45,No,Artist,3,Average,3,Cat_6
459603.375,Female,Yes,86,Yes,Lawyer,1,Low,1,Cat_6
459606.1647,Male,No,18,No,Healthcare,1,Low,5,Cat_6
459608.9544,Male,No,37,Yes,Entertainment,,Low,1,Cat_6
459611.7441,Male,Yes,46,Yes,Artist,1,Low,1,Cat_6
459614.5338,Male,Yes,58,No,Artist,,Average,2,Cat_6
459617.3235,Female,Yes,72,Yes,Lawyer,8,High,2,Cat_6
459620.1132,Female,Yes,50,Yes,Artist,0,High,3,
459622.9029,Female,,56,Yes,Engineer,8,Average,3,Cat_6
459625.6926,Male,No,46,No,Artist,3,Low,3,Cat_5
459628.4824,Male,Yes,57,Yes,Artist,,Low,1,Cat_6
459631.2721,Male,Yes,42,No,Executive,9,High,6,Cat_6
459634.0618,Male,No,20,No,Healthcare,,Low,4,Cat_6
459636.8515,Male,No,19,No,Healthcare,,Low,3,Cat_6
459639.6412,Male,No,19,No,Healthcare,4,Low,4,Cat_6
459642.4309,Male,Yes,68,Yes,Executive,1,Low,1,Cat_6
459645.2206,Female,Yes,40,Yes,Artist,0,Low,2,Cat_6
459648.0103,Male,Yes,82,No,Lawyer,,High,2,Cat_6
459650.8,Female,No,23,No,Healthcare,1,Low,3,Cat_6
459653.5897,Female,Yes,84,No,Lawyer,1,High,2,Cat_6
459656.3794,Male,Yes,51,No,Artist,0,Low,4,Cat_1
459659.1691,Male,,59,Yes,Artist,1,Average,2,Cat_6
459661.9588,Female,Yes,41,Yes,Artist,1,Average,5,Cat_6
459664.7485,Male,Yes,51,No,Executive,1,High,2,Cat_6
459667.5382,Female,Yes,62,No,Artist,,Average,3,Cat_6
459670.3279,Female,Yes,62,No,Lawyer,1,High,4,Cat_4
459673.1176,Female,Yes,38,Yes,Artist,8,Low,1,Cat_6
459675.9074,Male,No,18,No,Artist,,Low,4,Cat_4
459678.6971,Male,No,22,No,Healthcare,3,Low,4,Cat_6
459681.4868,Female,,30,Yes,Doctor,0,Low,3,Cat_3
459684.2765,Female,Yes,62,Yes,Entertainment,1,Low,1,Cat_6
459687.0662,Female,No,43,No,Entertainment,1,Low,3,Cat_6
459689.8559,Female,No,32,Yes,Engineer,,Low,1,Cat_3
459692.6456,Male,Yes,37,Yes,Artist,1,High,,Cat_6
459695.4353,Male,No,48,Yes,Artist,1,Low,1,Cat_6
459698.225,Female,No,31,Yes,Engineer,4,Low,2,Cat_6
459701.0147,Male,Yes,46,No,Artist,4,High,4,Cat_6
459703.8044,Female,Yes,49,No,Engineer,1,Average,4,Cat_6
459706.5941,Male,Yes,43,No,Doctor,,Average,4,Cat_6
459709.3838,Male,No,42,Yes,Artist,8,Low,1,Cat_6
459712.1735,Male,Yes,37,Yes,Doctor,,Low,2,Cat_6
459714.9632,Male,Yes,72,Yes,Entertainment,,High,2,Cat_6
459717.7529,Male,,71,No,Executive,,High,1,
459720.5426,Female,No,39,Yes,Engineer,1,Low,1,Cat_4
459723.3324,Male,No,20,No,Healthcare,0,Low,5,Cat_2
459726.1221,Female,No,26,No,,,Low,1,Cat_7
459728.9118,Male,Yes,72,Yes,Executive,1,Low,1,Cat_6
459731.7015,Male,Yes,70,Yes,Healthcare,0,Low,1,Cat_4
459734.4912,Male,No,45,Yes,Artist,2,Low,1,Cat_6
459737.2809,Male,No,33,No,Executive,7,Low,5,Cat_6
459740.0706,Male,Yes,50,No,Entertainment,0,Average,3,Cat_6
459742.8603,Male,No,31,Yes,Entertainment,6,Low,1,Cat_6
459745.65,Female,Yes,74,No,Lawyer,1,High,2,Cat_6
459748.4397,Female,Yes,68,No,Artist,,High,2,Cat_6
459751.2294,Female,No,49,Yes,Artist,,Low,1,Cat_6
459754.0191,Male,Yes,49,Yes,Marketing,0,High,2,Cat_6
459756.8088,Female,No,18,No,Healthcare,1,Low,3,Cat_6
459759.5985,Female,Yes,85,No,Entertainment,2,Average,2,Cat_6
459762.3882,Female,No,38,Yes,Entertainment,,Low,4,Cat_6
459765.1779,Male,Yes,28,No,Artist,0,Low,4,Cat_6
459767.9676,Male,Yes,46,No,Artist,3,Average,2,
459770.7574,Male,Yes,59,Yes,Homemaker,9,Average,3,Cat_6
459773.5471,Female,Yes,56,Yes,Artist,0,Low,2,Cat_6
459776.3368,Male,Yes,69,Yes,Artist,0,Low,1,Cat_6
459779.1265,Male,Yes,66,Yes,Artist,0,Low,2,Cat_6
459781.9162,Male,No,18,No,Healthcare,4,Low,6,Cat_2
459784.7059,Male,No,36,Yes,Artist,4,Low,1,Cat_4
459787.4956,Male,No,31,Yes,Marketing,1,Low,2,Cat_3
459790.2853,Male,Yes,67,No,Executive,1,High,2,Cat_4
459793.075,Female,No,39,Yes,Artist,7,Low,1,Cat_6
459795.8647,Male,No,42,Yes,Entertainment,4,Low,3,Cat_6
459798.6544,Male,Yes,50,Yes,Artist,0,Low,2,Cat_6
459801.4441,Female,Yes,37,Yes,Artist,0,Average,2,Cat_6
459804.2338,Female,No,59,Yes,Artist,0,Low,1,Cat_6
459807.0235,Male,Yes,50,Yes,Artist,8,Low,2,Cat_6
459809.8132,Male,Yes,48,Yes,Artist,8,Low,3,Cat_2
459812.6029,Male,Yes,55,Yes,Artist,9,Low,1,Cat_6
459815.3926,Female,No,33,Yes,Doctor,1,Low,3,Cat_6
459818.1824,Male,No,38,Yes,Artist,13,Low,1,Cat_7
459820.9721,Male,No,43,Yes,Artist,0,Low,2,Cat_6
459823.7618,Female,No,53,Yes,Artist,0,Low,2,Cat_6
459826.5515,Male,No,37,Yes,Entertainment,0,Low,1,Cat_6
459829.3412,Female,No,36,Yes,Artist,5,Low,1,Cat_6
459832.1309,Male,No,36,Yes,Artist,5,Low,1,Cat_6
459834.9206,Male,Yes,62,Yes,Artist,1,Low,1,Cat_6
459837.7103,Female,No,38,No,Artist,2,Low,2,Cat_6
459840.5,Male,No,55,Yes,Entertainment,1,Low,1,Cat_6
459843.2897,Male,Yes,60,No,Entertainment,1,Average,2,Cat_6
459846.0794,Female,Yes,36,Yes,Entertainment,7,Average,2,Cat_5
459848.8691,Male,No,30,No,Entertainment,5,Low,9,Cat_3
459851.6588,Female,No,66,No,Entertainment,4,Low,3,Cat_6
459854.4485,Male,Yes,45,Yes,Entertainment,1,Low,1,Cat_6
459857.2382,Female,No,40,Yes,Entertainment,6,Low,,Cat_6
459860.0279,Female,,45,Yes,Entertainment,5,Low,3,Cat_6
459862.8176,Male,Yes,41,Yes,,2,Low,1,Cat_6
459865.6074,Female,Yes,62,Yes,Homemaker,4,Low,1,Cat_5
459868.3971,Male,Yes,61,Yes,Artist,1,Low,2,Cat_6
459871.1868,Female,Yes,50,Yes,Artist,4,Low,2,Cat_6
459873.9765,Male,Yes,53,Yes,Entertainment,3,Low,2,Cat_6
459876.7662,Male,No,39,Yes,Artist,7,Low,1,Cat_6
459879.5559,Female,No,86,Yes,Lawyer,0,Low,1,Cat_3
459882.3456,Male,Yes,50,Yes,Artist,1,Low,1,Cat_4
459885.1353,Female,No,46,No,Entertainment,4,Low,,Cat_4
459887.925,Male,No,52,Yes,Marketing,0,Low,1,Cat_3
459890.7147,Female,No,45,No,Marketing,0,Low,1,Cat_6
459893.5044,Female,No,37,Yes,Artist,9,Low,1,Cat_6
459896.2941,Female,Yes,36,Yes,Engineer,3,Low,1,Cat_6
459899.0838,Female,No,25,Yes,Artist,,Low,1,Cat_6
459901.8735,Female,No,40,No,Doctor,1,Low,1,Cat_6
459904.6632,Male,Yes,41,Yes,Artist,11,High,2,Cat_6
459907.4529,Female,Yes,25,Yes,Homemaker,,High,2,Cat_6
459910.2426,Male,Yes,80,No,Lawyer,4,Average,2,Cat_6
459913.0324,Female,No,46,Yes,Artist,3,Low,1,Cat_3
459915.8221,Female,Yes,81,Yes,Lawyer,1,Low,1,Cat_6
459918.6118,Male,,40,Yes,Artist,0,Low,2,Cat_3
459921.4015,Male,No,49,Yes,,1,Low,1,Cat_3
459924.1912,Female,No,26,Yes,Healthcare,8,Low,3,Cat_3
459926.9809,Male,No,26,Yes,Artist,1,Low,1,Cat_4
459929.7706,Female,No,47,Yes,Artist,0,Low,1,Cat_4
459932.5603,Female,Yes,71,Yes,Entertainment,0,Low,,Cat_6
459935.35,Male,Yes,48,Yes,Engineer,1,Average,5,Cat_6
459938.1397,Male,Yes,39,Yes,Artist,1,Average,3,Cat_2
459940.9294,Male,Yes,50,Yes,Artist,8,Average,2,Cat_6
459943.7191,Female,No,46,Yes,Artist,1,Low,2,
459946.5088,Male,Yes,26,Yes,Engineer,8,Average,2,Cat_3
459949.2985,Female,Yes,42,Yes,,1,Low,2,Cat_6
459952.0882,Female,Yes,36,Yes,Artist,4,Low,2,Cat_6
459954.8779,Male,No,29,Yes,Healthcare,1,Low,4,Cat_6
459957.6676,Female,No,39,No,Artist,1,Low,1,Cat_6
459960.4574,Female,No,41,Yes,Artist,0,Low,3,Cat_6
459963.2471,Female,Yes,48,Yes,Marketing,8,Low,,Cat_6
459966.0368,Male,Yes,40,Yes,Entertainment,9,High,3,Cat_6
459968.8265,Female,No,25,Yes,Healthcare,4,Low,3,Cat_6
459971.6162,Female,Yes,41,Yes,Artist,7,Low,2,Cat_6
459974.4059,Male,No,37,Yes,Artist,11,Low,1,Cat_6
459977.1956,Female,No,53,Yes,Doctor,0,Low,,Cat_3
459979.9853,Female,Yes,51,Yes,Engineer,0,Average,3,Cat_3
459982.775,Male,Yes,73,Yes,Entertainment,1,Average,3,Cat_6
459985.5647,Male,Yes,61,No,,1,Low,5,Cat_4
459988.3544,Male,No,39,Yes,Entertainment,5,Low,1,Cat_3
459991.1441,Female,No,19,No,Healthcare,0,Low,4,Cat_2
459993.9338,Female,No,19,No,Healthcare,0,Low,7,Cat_2
459996.7235,Female,No,23,No,Entertainment,1,Low,5,Cat_2
459999.5132,Male,Yes,83,Yes,Executive,0,High,2,Cat_2
460002.3029,Female,Yes,62,Yes,Artist,1,High,2,Cat_6
460005.0926,Female,No,43,Yes,Artist,9,Low,4,Cat_6
460007.8824,Female,No,27,No,Artist,0,Low,5,Cat_2
460010.6721,Male,No,50,Yes,Artist,0,Low,1,Cat_6
460013.4618,Female,No,23,No,Entertainment,0,Low,6,Cat_2
460016.2515,Male,No,35,No,Entertainment,9,Low,2,Cat_6
460019.0412,Male,No,32,No,Healthcare,9,Low,3,Cat_6
460021.8309,Female,No,42,Yes,Doctor,2,Low,3,Cat_6
460024.6206,Male,No,33,No,Entertainment,13,Low,1,Cat_6
460027.4103,Female,No,28,Yes,Entertainment,9,Low,3,Cat_6
460030.2,Male,Yes,35,Yes,,1,Low,2,Cat_7
460032.9897,Female,No,35,Yes,Healthcare,9,Low,2,Cat_6
460035.7794,Female,Yes,39,Yes,Entertainment,0,Low,2,Cat_6
460038.5691,Male,Yes,28,,Artist,6,Low,1,Cat_6
460041.3588,Male,Yes,35,Yes,Entertainment,11,Low,6,Cat_6
460044.1485,Female,Yes,45,Yes,Engineer,0,Average,2,Cat_6
460046.9382,Female,,73,Yes,Lawyer,4,High,,Cat_6
460049.7279,Male,No,52,No,Entertainment,1,Low,1,Cat_6
460052.5176,Male,No,28,No,Healthcare,0,Low,3,Cat_6
460055.3074,Male,Yes,38,Yes,Healthcare,9,Low,3,Cat_6
460058.0971,Female,No,42,Yes,Entertainment,8,Low,1,Cat_6
460060.8868,Female,No,26,No,Doctor,9,Low,,Cat_6
460063.6765,Female,No,27,Yes,Healthcare,7,Low,2,Cat_6
460066.4662,Male,Yes,41,Yes,Artist,0,Low,2,Cat_6
460069.2559,Male,Yes,41,Yes,Artist,1,Low,2,Cat_6
460072.0456,Male,Yes,47,Yes,Executive,0,High,4,Cat_6
460074.8353,Male,No,35,Yes,Doctor,8,Low,1,Cat_6
460077.625,Female,No,88,Yes,Lawyer,0,Low,1,Cat_6
460080.4147,Female,No,46,Yes,Artist,6,Low,1,Cat_6
460083.2044,Female,Yes,41,Yes,Artist,3,Low,2,Cat_6
460085.9941,Female,No,30,Yes,Doctor,10,Low,5,Cat_6
460088.7838,Male,Yes,43,Yes,Doctor,12,Low,2,Cat_6
460091.5735,Female,No,29,Yes,Entertainment,9,Low,2,Cat_6
460094.3632,Male,Yes,48,Yes,Artist,1,Low,1,Cat_6
460097.1529,Female,Yes,61,Yes,Artist,4,Average,6,Cat_4
460099.9426,Female,No,51,Yes,Lawyer,2,Low,1,Cat_6
460102.7324,Female,No,38,Yes,Artist,2,Low,1,
